address,URL,latitude,longitude,town,postal_number
: Bjarmastígur 8,https://arnorbl.blog.is/blog/arnorbl/entry/2206760/,65.6820164,-18.0929341,Akureyri,600
: Bjarmastígur 9,http://arnorbl.blog.is/blog/arnorbl/entry/2173101/,65.681561,-18.092905,Akureyri,600
: Brekkugata 1,https://arnorbl.blog.is/blog/arnorbl/entry/1272037/,65.6824874,-18.0918324,Akureyri,600
: Brekkugata 10,https://arnorbl.blog.is/blog/arnorbl/entry/1079058/,65.6835372,-18.0931022,Akureyri,600
: Brekkugata 11,https://arnorbl.blog.is/blog/arnorbl/entry/1277019/,65.6830328,-18.092939,Akureyri,600
: Brekkugata 12,https://arnorbl.blog.is/blog/arnorbl/entry/2204268/,65.6836986,-18.0933068,Akureyri,600
: Brekkugata 13,http://arnorbl.blog.is/blog/arnorbl/entry/2161254/,65.683145,-18.093187,Akureyri,600
: Brekkugata 14,https://arnorbl.blog.is/blog/arnorbl/entry/1279887/,65.6839994,-18.0940837,Akureyri,600
: Brekkugata 15,https://arnorbl.blog.is/blog/arnorbl/entry/1279670/,65.6832811,-18.0934295,Akureyri,600
: Brekkugata 1a,https://arnorbl.blog.is/blog/arnorbl/entry/1272114/,65.6824874,-18.0918324,Akureyri,600
: Brekkugata 23,http://arnorbl.blog.is/blog/arnorbl/entry/2166016/,65.684189,-18.0951832,Akureyri,600
: Brekkugata 25,http://arnorbl.blog.is/blog/arnorbl/entry/2166333/,65.6843038,-18.0953969,Akureyri,600
: Brekkugata 27,http://arnorbl.blog.is/blog/arnorbl/entry/2166820/,65.6846312,-18.0960314,Akureyri,600
: Brekkugata 27a,http://arnorbl.blog.is/blog/arnorbl/entry/2166523/,65.6844402,-18.09573,Akureyri,600
: Brekkugata 29,http://arnorbl.blog.is/blog/arnorbl/entry/2166998/,65.6847459,-18.0962737,Akureyri,600
: Brekkugata 3,https://arnorbl.blog.is/blog/arnorbl/entry/1273124/,65.682604,-18.092035,Akureyri,600
: Brekkugata 30,http://arnorbl.blog.is/blog/arnorbl/entry/2169372/,65.685794,-18.0973491,Akureyri,600
: Brekkugata 31,https://arnorbl.blog.is/blog/arnorbl/entry/1079058/,65.6849085,-18.0966229,Akureyri,600
: Brekkugata 32,http://arnorbl.blog.is/blog/arnorbl/entry/2169876/,65.6858939,-18.0978272,Akureyri,600
: Brekkugata 33,http://arnorbl.blog.is/blog/arnorbl/entry/2167462/,65.6850434,-18.0968265,Akureyri,600
: Brekkugata 34,http://arnorbl.blog.is/blog/arnorbl/entry/2171180/,65.686106,-18.0980672,Akureyri,600
: Brekkugata 35,http://arnorbl.blog.is/blog/arnorbl/entry/2167784/,65.6851746,-18.0970513,Akureyri,600
: Brekkugata 37,http://arnorbl.blog.is/blog/arnorbl/entry/2168161/,65.6852986,-18.0972834,Akureyri,600
: Brekkugata 39,http://arnorbl.blog.is/blog/arnorbl/entry/2168560/,65.6854329,-18.097604,Akureyri,600
: Brekkugata 4,http://arnorbl.blog.is/blog/arnorbl/entry/2163094/,65.6831351,-18.0922892,Akureyri,600
: Brekkugata 41,http://arnorbl.blog.is/blog/arnorbl/entry/2168895/,65.6855558,-18.0978361,Akureyri,600
: Brekkugata 43,http://arnorbl.blog.is/blog/arnorbl/entry/2170243/,65.6856993,-18.098138,Akureyri,600
: Brekkugata 45,http://arnorbl.blog.is/blog/arnorbl/entry/2171425/,65.6858248,-18.0983513,Akureyri,600
: Brekkugata 47,http://arnorbl.blog.is/blog/arnorbl/entry/2171680/,65.6859251,-18.0985979,Akureyri,600
: Brekkugata 5,https://arnorbl.blog.is/blog/arnorbl/entry/1072291/,65.6827016,-18.0922689,Akureyri,600
: Brekkugata 5b,http://arnorbl.blog.is/blog/arnorbl/entry/2164122/,65.6827016,-18.0922689,Akureyri,600
: Brekkugata 6,https://arnorbl.blog.is/blog/arnorbl/entry/1274643/,65.6832961,-18.0926077,Akureyri,600
: Brekkugata 7,http://arnorbl.blog.is/blog/arnorbl/entry/2164422/,65.6828025,-18.0925049,Akureyri,600
: Brekkugata 9,https://arnorbl.blog.is/blog/arnorbl/entry/1273845/,65.6828943,-18.0928136,Akureyri,600
: Byggðavegur 142,http://arnorbl.blog.is/blog/arnorbl/entry/1875021/,65.6841811,-18.103275,Akureyri,600
: Eiðsvallagata 1,http://www.arnorbl.blog.is/blog/arnorbl/entry/1498317/,65.686232,-18.088465,Akureyri,600
: Eiðsvallagata 11,http://www.arnorbl.blog.is/blog/arnorbl/entry/1533853/,65.686753,-18.086003,Akureyri,600
: Eiðsvallagata 13,http://www.arnorbl.blog.is/blog/arnorbl/entry/1537331/,65.6868629,-18.0853927,Akureyri,600
: Eiðsvallagata 20,http://www.arnorbl.blog.is/blog/arnorbl/entry/1549796/,65.686152,-18.087837,Akureyri,600
: Eiðsvallagata 22,http://www.arnorbl.blog.is/blog/arnorbl/entry/1564464/,65.6862569,-18.0874467,Akureyri,600
: Eiðsvallagata 24,http://www.arnorbl.blog.is/blog/arnorbl/entry/1564465/,65.6863163,-18.0871551,Akureyri,600
: Eiðsvallagata 26,http://www.arnorbl.blog.is/blog/arnorbl/entry/1564466/,65.6863875,-18.0867307,Akureyri,600
: Eiðsvallagata 28,http://www.arnorbl.blog.is/blog/arnorbl/entry/1574871/,65.6864821,-18.0863502,Akureyri,600
: Eiðsvallagata 3,http://www.arnorbl.blog.is/blog/arnorbl/entry/1506530/,65.686334,-18.087977,Akureyri,600
: Eiðsvallagata 30,http://www.arnorbl.blog.is/blog/arnorbl/entry/1491092/,65.6865716,-18.0858698,Akureyri,600
: Eiðsvallagata 32,http://www.arnorbl.blog.is/blog/arnorbl/entry/1574884/,65.6866446,-18.0853048,Akureyri,600
: Eiðsvallagata 4,http://www.arnorbl.blog.is/blog/arnorbl/entry/1509097/,65.6855783,-18.090733,Akureyri,600
: Eiðsvallagata 5,http://www.arnorbl.blog.is/blog/arnorbl/entry/1513133/,65.686464,-18.087467,Akureyri,600
: Eiðsvallagata 7,https://arnorbl.blog.is/blog/arnorbl/entry/1271295/,65.6865578,-18.0869865,Akureyri,600
: Eiðsvallagata 8,http://www.arnorbl.blog.is/blog/arnorbl/entry/1523028/,65.685762,-18.089773,Akureyri,600
: Eiðsvallagata 9,http://www.arnorbl.blog.is/blog/arnorbl/entry/1533852/,65.6866501,-18.0864125,Akureyri,600
: Eyrarlandsstofa,https://arnorbl.blog.is/blog/arnorbl/entry/1189627/,65.6746963,-18.0937381,Akureyri,600
: Eyrarlandsvegur 12,https://arnorbl.blog.is/blog/arnorbl/entry/1287377/,65.6788019,-18.0915478,Akureyri,600
: Eyrarlandsvegur 14,https://arnorbl.blog.is/blog/arnorbl/entry/1287642/,65.6786262,-18.0916254,Akureyri,600
: Eyrarlandsvegur 16.,https://arnorbl.blog.is/blog/arnorbl/entry/1288145/,65.6784404,-18.0917669,Akureyri,600
: Eyrarlandsvegur 20,https://arnorbl.blog.is/blog/arnorbl/entry/1288988/,65.6782341,-18.0919002,Akureyri,600
: Eyrarlandsvegur 22,https://arnorbl.blog.is/blog/arnorbl/entry/1289926/,65.6780655,-18.0920628,Akureyri,600
: Eyrarlandsvegur 26,https://arnorbl.blog.is/blog/arnorbl/entry/1053900/,65.6776205,-18.0924543,Akureyri,600
: Eyrarlandsvegur 27,http://www.arnorbl.blog.is/blog/arnorbl/entry/1377495/,65.6766633,-18.092141,Akureyri,600
: Eyrarlandsvegur 29,http://www.arnorbl.blog.is/blog/arnorbl/entry/1378212/,65.6765206,-18.0920296,Akureyri,600
: Eyrarlandsvegur 31,http://www.arnorbl.blog.is/blog/arnorbl/entry/1379370/,65.6763733,-18.0919385,Akureyri,600
: Eyrarlandsvegur 33,http://www.arnorbl.blog.is/blog/arnorbl/entry/1380872/,65.676214,-18.0917264,Akureyri,600
: Eyrarvegur 1-3,https://arnorbl.blog.is/blog/arnorbl/entry/2274302/,65.6875509,-18.0944327,Akureyri,600
: Eyrarvegur 10,https://arnorbl.blog.is/blog/arnorbl/entry/2275821/,65.6874138,-18.0924016,Akureyri,600
